Name: HARRY | Happiness: 5 | Food: 5 | Cleanliness: 0
Name: FELIX | Happiness: 0 | Food: 3 | Cleanliness: 1
Name: GANDALF | Happiness: 13 | Food: 14 | Cleanliness: 0
Name: ICARUS | Happiness: 3 | Food: 0 | Cleanliness: 2
Name: FELIX | Happiness: 3 | Food: 5 | Cleanliness: 0
Name: FELIX | Happiness: 0 | Food: 2 | Cleanliness: 4
Name: DIAMOND | Happiness: 0 | Food: 17 | Cleanliness: 12
Name: HARRY | Happiness: 2 | Food: 0 | Cleanliness: 10
Name: ICARUS | Happiness: 5 | Food: 4 | Cleanliness: 0
Name: HARRY | Happiness: 7 | Food: 0 | Cleanliness: 4
Name: HARRY | Happiness: 2 | Food: 11 | Cleanliness: 0
Name: HARRY | Happiness: 0 | Food: 4 | Cleanliness: 4
Name: ANGUS | Happiness: 16 | Food: 11 | Cleanliness: 0
Name: CHARLIE | Happiness: 5 | Food: 5 | Cleanliness: 0
Name: CHARLIE | Happiness: 5 | Food: 0 | Cleanliness: 4
Name: HARRY | Happiness: 9 | Food: 4 | Cleanliness: 0
Name: FELIX | Happiness: 0 | Food: 5 | Cleanliness: 4
Name: ICARUS | Happiness: 3 | Food: 4 | Cleanliness: 0
Name: ICARUS | Happiness: 3 | Food: 0 | Cleanliness: 3
Name: GANDALF | Happiness: 19 | Food: 0 | Cleanliness: 9
Name: HARRY | Happiness: 11 | Food: 1 | Cleanliness: 0
Name: CHARLIE | Happiness: 5 | Food: 5 | Cleanliness: 0
Name: FELIX | Happiness: 6 | Food: 4 | Cleanliness: 0
Name: BRANDY | Happiness: 7 | Food: 6 | Cleanliness: 6
Name: FELIX | Happiness: 3 | Food: 3 | Cleanliness: 0
